model,CORE-Agent,HAL Generalist Agent,Claude Code  Submitted by Nicholas Carlini  Download main.py,Claude Code  Submitted by Nicholas Carlini  Download main.py  Pareto optimal,HAL Generalist Agent  Pareto optimal,spread,n
claude-opus-4.5,0.42219999999999996,0.3333,,0.7778,,0.44450000000000006,3
claude-sonnet-4.5,0.44439999999999996,0.3333,0.6222,,,0.2889,3
claude-opus-4.1,0.5111,0.3556,0.42219999999999996,,,0.15549999999999997,3
claude-sonnet-4,0.3333,,0.4667,,,0.13340000000000002,2
gemini-3-pro-preview,0.4,0.3556,,,,0.044399999999999995,2
claude-3.7-sonnet,0.3556,0.3778,,,,0.022199999999999998,2
o4-mini,0.2667,0.3556,,,,0.08890000000000003,2
gpt-4.1,0.3333,0.22219999999999998,,,,0.1111,2
gpt-5,0.2667,0.11109999999999999,,,,0.15560000000000002,2
o3,0.2444,0.22219999999999998,,,,0.022200000000000025,2
gemini-2.5-pro-preview,0.22219999999999998,0.0444,,,,0.17779999999999999,2
deepseek-v3,0.1778,0.0889,,,,0.0889,2
gemini-2.0-flash,0.11109999999999999,0.0444,,,,0.06669999999999998,2
gpt-oss-120b,0.11109999999999999,0.0889,,,0.0889,0.022199999999999984,3
deepseek-r1,0.0667,0.0889,,,,0.02220000000000001,2
