model,Terminus 2,Mini-SWE-Agent,OpenHands,Codex CLI,Claude Code,Gemini CLI,Crux,Droid,Mux,Letta Code,Goose,spoox-o-m,CodeBrain-1,Terminus-KIRA,SageAgent,Capy,TongAgents,MAYA-V2,IndusAGI Coding Agent,ForgeCode,CodeBrain-1.5,CAMEL-AI,Ante,MAYA,Junie CLI,Codelia,Dakou Agent,Harness Agent,II-Agent,Simple Codex,OpenCode,Meta-Harness,NexAU-AHE,cchuter,clnkr,hookele,spoox-m,spread,n
gpt-5.5,,,,0.822471910112,,,,,,,,,,,,0.8314606741570001,,,,,,,,,,,,,,,,,0.847191011236,,0.660674157303,,,0.186516853933,4
gemini-3.1-pro-preview,,,,,,0.593632958801,,,,,,,,0.748314606742,,,0.8022471910110001,,,0.784,,,,,,,,,,,,,,,,,,0.20861423221000008,4
claude-opus-4.6,0.629213483146,,,,0.579775280899,,0.66872659176,0.699,0.6651685393260001,,,,,0.747191011236,,0.752808988764,0.7191011235960001,0.7207865168540001,,0.798,,,,,,,,,,,,0.76404494382,,,,,,0.21822471910100005,11
gpt-5.3-codex,0.647191011236,,,,,,,0.773033707865,0.7460674157299999,,,0.7146067415730001,0.703,,0.7842696629210001,,,,0.69138576779,,0.7584269662920001,,,,,0.757303370787,,,,0.7505617977529999,,,,,,,,0.1370786516850001,10
gemini-3-pro-preview,0.5685393258429999,,,,,,,0.611235955056,,0.559550561798,,,0.622,,0.651685393258,,,,,,0.622471910112,,0.6942571785270001,,,,,,0.6179775280900001,,,,,,,,,0.13470661672900008,8
gpt-5.2,0.540449438202,,,0.629213483146,,,,0.6494382022470001,0.606741573034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10898876404500013,4
gemini-3-flash-preview,0.516853932584,,,,,0.51,,,,,,,,,,,,,,,,,,,0.642696629213,,,,,,,,,,,,,0.13269662921299996,3
claude-opus-4.5,0.577528089888,,0.519101123596,,0.521348314607,,,0.631460674157,0.584269662921,0.591011235955,0.543258426966,,,,,,,,,,,,,,,,,,,,0.516853932584,,,,,,,0.11460674157299999,8
gpt-5.1-codex-mini,,,,0.431,,,0.431460674157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615730337079,,0.18473033707900005,3
gpt-5.1-codex,0.369,,,0.578,,,0.577528089888,,,0.534831460674,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20899999999999996,4
gpt-5,0.352,0.339325842697,0.438202247191,0.49606741573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15674157303300001,4
claude-sonnet-4.5,0.42808988764,0.4252808988759999,0.426,,0.401,,,,,,0.431460674157,,,,,,,0.426966292135,,,,0.465168539326,,0.427,,,,,,,,,,,,,,0.06416853932599997,8
minimax-m2.7,,,,,,,,,,,,,,,,,,,0.450561797753,,,,,,,,,0.429213483146,,,,,,,,,,0.021348314606999985,2
gpt-5-codex,0.434269662921,0.413483146067,,0.443258426966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029775280899,3
minimax-m2.5,0.422471910112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426966292135,,,,0.004494382022999954,2
claude-opus-4.1,0.38,0.351,0.369,,0.348314606742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031685393258000016,4
minimax-m2.1,0.292134831461,,,,,,0.366292134831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07415730336999998,2
claude-haiku-4.5,0.283146067416,0.298314606742,0.139325842697,,0.275280898876,,,,,,0.355056179775,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215730337078,5
gpt-5-mini,0.240449438202,0.222471910112,0.292134831461,0.319,,,,,,,,0.348314606742,,,,,,,,,,,,,,,,,,,,,,,,,0.348,0.12584269663,6
glm-4.7,0.333895131086,,,,,,0.332584269663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013108614230000204,2
gemini-2.5-pro,0.326404494382,0.261,0.1640449438199999,,,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16235955056200008,4
kimi-k2-instruct,0.278,,0.267415730337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010584269663000023,2
grok-4-0709,0.231460674157,0.254,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04053932584300002,3
qwen3-coder-480b-a35b-instruct,0.239,,0.254,,,,,,,,,,,,,,,,,,,,,,,,0.27191011236,,,,,,,,,,,0.03291011236000002,3
grok-code-fast-1,0.142,0.258426966292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11642696629200003,2
gpt-5-nano,0.079,0.07,0.099,0.115,,,,,,,,0.2179775280899999,,,,,,,,,,,,,,,,,,,,,,,,,,0.1479775280899999,5
gpt-oss-120b,0.187,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04500000000000001,2
gemini-2.5-flash-preview-09-2025,0.169,0.171,0.164,,,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017000000000000015,4
gemini-2.5-flash,0.168539325843,0.170786516854,0.1640449438199999,,,0.154494382022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01629213483200001,4
gpt-oss-20b,0.031,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030000000000000027,2
